Category,Technique,RR@1,RD@1,RP@1
natgen,humaneval_VarRenamerRN_s0,0.21341463414634146,0.05932203389830498,0.676829268292683
natgen,humaneval_ForWhileTransformer_s0,0.1951219512195122,0.050847457627118536,0.6829268292682927
natgen,humaneval_VarRenamerNaive_s0,0.2621951219512195,0.05932203389830498,0.676829268292683
natgen,humaneval_VarRenamerCB_s0,0.21951219512195122,0.050847457627118536,0.6829268292682927
natgen,humaneval_DeadCodeInserter_s0,0.32926829268292684,0.20338983050847462,0.573170731707317
natgen,humaneval_OperandSwap_s0,0.21951219512195122,0.0169491525423729,0.7073170731707317
func_name,humaneval_FuncRenameCamelCase_s0,0.5365853658536586,0.7457627118644069,0.18292682926829268
func_name,humaneval_FuncRenameChangeChar_s0,0.6829268292682927,0.9491525423728813,0.036585365853658534
func_name,humaneval_FuncRenameSynonymSub_s0,0.018292682926829267,0.00847457627118645,0.7134146341463414
func_name,humaneval_FuncRenameSwapChar_s0,0.23780487804878048,0.3135593220338983,0.49390243902439024
func_name,humaneval_FuncRenameButterFinger_s0,0.6829268292682927,0.9491525423728813,0.036585365853658534
func_name,humaneval_FuncRenameInflectionalVariation_s0,0.4146341463414634,0.576271186440678,0.3048780487804878
format,humaneval_new_lines_s0,0.042682926829268296,0.025423728813559344,0.7012195121951219
format,humaneval_split_lines_s0,0.0975609756097561,0.10169491525423723,0.6463414634146342
format,humaneval_new_line_aftercode_s0,0.006097560975609756,0.00847457627118645,0.7134146341463414
format,humaneval_new_line_afterdoc_s0,0.03048780487804878,0.025423728813559344,0.7012195121951219
format,humaneval_tab_indent_s0,0.0975609756097561,0.050847457627118536,0.6829268292682927
format,humaneval_doc2comments_s0,0.036585365853658534,0.0,0.7195121951219512
nlaugmenter,humaneval_BackTranslation_s0,0.23170731707317074,0.06779661016949143,0.6707317073170732
nlaugmenter,humaneval_TenseTransformationPast_s0,0.23170731707317074,0.0,0.7195121951219512
nlaugmenter,humaneval_ButterFingersPerturbation_s0,0.20121951219512196,0.025423728813559344,0.7012195121951219
nlaugmenter,humaneval_EnglishInflectionalVariation_s0,0.21951219512195122,0.0169491525423729,0.7073170731707317
nlaugmenter,humaneval_SynonymInsertion_s0,0.2804878048780488,0.050847457627118536,0.6829268292682927
nlaugmenter,humaneval_SwapCharactersPerturbation_s0,0.21951219512195122,0.0338983050847458,0.6951219512195121
nlaugmenter,humaneval_WhitespacePerturbation_s0,0.23780487804878048,0.025423728813559344,0.7012195121951219
nlaugmenter,humaneval_TenseTransformationFuture_s0,0.23780487804878048,0.025423728813559344,0.7012195121951219
nlaugmenter,humaneval_ChangeCharCase_s0,0.2682926829268293,0.13559322033898302,0.6219512195121951
nlaugmenter,humaneval_SynonymSubstitution_s0,0.3048780487804878,0.13559322033898302,0.6219512195121951
