Dataset,Pass@1,Drop,Relative
nominal,0.6666666666666666,N/A,N/A
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_BackTranslation_s0_eval_results.json,0.6005291005291006,0.09920634920634908,0.10317460317460317
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_SynonymInsertion_s0_eval_results.json,0.6349206349206349,0.047619047619047616,0.1164021164021164
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_ButterFingersPerturbation_s0_eval_results.json,0.6507936507936508,0.023809523809523725,0.06878306878306878
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_SynonymSubstitution_s0_eval_results.json,0.58994708994709,0.11507936507936495,0.1349206349206349
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_ChangeCharCase_s0_eval_results.json,0.5793650793650794,0.13095238095238082,0.1455026455026455
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_TenseTransformationFuture_s0_eval_results.json,0.6507936507936508,0.023809523809523725,0.09523809523809523
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_TenseTransformationPast_s0_eval_results.json,0.656084656084656,0.015873015873015872,0.07407407407407407
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_EnglishInflectionalVariation_s0_eval_results.json,0.6137566137566137,0.07936507936507936,0.12169312169312169
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_SwapCharactersPerturbation_s0_eval_results.json,0.6428571428571429,0.03571428571428559,0.07671957671957672
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_WhitespacePerturbation_s0_eval_results.json,0.6375661375661376,0.04365079365079361,0.082010582010582
