Dataset,Pass@1,Drop,Relative
nominal,0.753968253968254,N/A,N/A
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_BackTranslation_s0_eval_results.json,0.7063492063492064,0.06315789473684202,0.08994708994708994
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_SynonymInsertion_s0_eval_results.json,0.7380952380952381,0.021052631578947295,0.10052910052910052
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_ButterFingersPerturbation_s0_eval_results.json,0.7513227513227513,0.003508771929824598,0.07671957671957672
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_SynonymSubstitution_s0_eval_results.json,0.6957671957671958,0.07719298245614027,0.13227513227513227
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_ChangeCharCase_s0_eval_results.json,0.6957671957671958,0.07719298245614027,0.13227513227513227
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_TenseTransformationFuture_s0_eval_results.json,0.7433862433862434,0.014035087719298246,0.09523809523809523
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_TenseTransformationPast_s0_eval_results.json,0.7513227513227513,0.003508771929824598,0.06613756613756613
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_EnglishInflectionalVariation_s0_eval_results.json,0.716931216931217,0.04912280701754378,0.10582010582010581
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_SwapCharactersPerturbation_s0_eval_results.json,0.7301587301587301,0.03157894736842109,0.06613756613756613
/home/preethiprakash2001/evalplus/output_dir/deepseek_instruct/nlaugmenter/mbpp/mbpp_WhitespacePerturbation_s0_eval_results.json,0.7328042328042328,0.028070175438596492,0.07936507936507936
